origem,destino,lat_origem,long_origem,lat_dest,long_dest
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SWBC,-3.130,-59.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBMN,SBMA,-3.130,-59.98,-5.370,-49.13
SBMA,SBSN,-5.370,-49.13,-2.420,-54.78
SBSN,SBHT,-2.420,-54.78,-3.210,-52.21
SBHT,SBMN,-3.210,-52.21,-3.130,-59.98
SBMN,SWEI,-3.130,-59.98,-6.637,-69.89
SWEI,SBTT,-6.637,-69.89,-4.250,-69.93
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SWEI,SBPV,-6.637,-69.89,-8.700,-63.90
SBPV,SBGM,-8.700,-63.90,-10.780,-65.27
SBGM,SBVH,-10.780,-65.27,-12.690,-60.11
SBVH,SBMY,-12.690,-60.11,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBUA,SBSQ,-0.130,-66.98,1.700,-69.39
SBSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SBUA,-0.130,-66.98,-0.130,-66.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBTS,-1.400,-48.45,2.220,-55.93
SBTS,SBBE,2.220,-55.93,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBGR,-3.130,-59.98,-23.440,-46.47
SBGR,SBBR,-23.440,-46.47,-15.870,-47.92
SBBR,SBMN,-15.870,-47.92,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBTT,-3.380,-64.73,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBMN,-4.131,-63.14,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SNOX,-1.400,-48.45,-1.716,-55.84
SNOX,SBMN,-1.716,-55.84,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SBCT,-8.700,-63.90,-25.520,-49.17
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBCT,SBPV,-25.520,-49.17,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBCT,SBPA,-25.520,-49.17,-29.990,-51.17
SBPA,SBCG,-29.990,-51.17,-20.470,-54.67
SBCG,SBPV,-20.470,-54.67,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SBTT,-0.130,-66.98,-4.250,-69.93
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBTT,SBTT,-4.250,-69.93,-4.250,-69.93
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBMN,0.610,-69.20,-3.130,-59.98
SBPV,SWLB,-8.700,-63.90,-7.282,-64.77
SWLB,SBPV,-7.282,-64.77,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SWCA,-3.130,-59.98,-4.874,-66.90
SWCA,SBTF,-4.874,-66.90,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SWEI,-3.380,-64.73,-6.637,-69.89
SWEI,SBMN,-6.637,-69.89,-3.130,-59.98
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SBCZ,-1.402,-69.43,-7.580,-72.77
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBCZ,SBMN,-7.580,-72.77,-3.130,-59.98
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SWCA,-3.130,-59.98,-4.874,-66.90
SWCA,SBMN,-4.874,-66.90,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SWLB,-8.700,-63.90,-7.282,-64.77
SWLB,SBPV,-7.282,-64.77,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SNOX,-1.400,-48.45,-1.716,-55.84
SNOX,SBMN,-1.716,-55.84,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBMN,-4.131,-63.14,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SBMN,SBGR,-3.130,-59.98,-23.440,-46.47
SBGR,SBMN,-23.440,-46.47,-3.130,-59.98
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SBTF,-4.250,-69.93,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBUA,2.220,-55.93,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SWCA,-3.130,-59.98,-4.874,-66.90
SWCA,SBMN,-4.874,-66.90,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SWEI,SBMN,-6.637,-69.89,-3.130,-59.98
SBMN,SWPI,-3.130,-59.98,-2.670,-56.78
SWPI,SBMN,-2.670,-56.78,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBSN,-1.400,-48.45,-2.420,-54.78
SBSN,SBMN,-2.420,-54.78,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBPV,-0.130,-66.98,-8.700,-63.90
SBPV,SWLB,-8.700,-63.90,-7.282,-64.77
SWLB,SBPV,-7.282,-64.77,-8.700,-63.90
SBPV,SWLB,-8.700,-63.90,-7.282,-64.77
SWLB,SBPV,-7.282,-64.77,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SWCA,-3.130,-59.98,-4.874,-66.90
SWCA,SBMN,-4.874,-66.90,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SWBC,-3.130,-59.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBUA,SBUA,-0.130,-66.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBMQ,-3.130,-59.98,-0.050,-51.11
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBUA,SWPC,-0.130,-66.98,0.266,-69.80
SWPC,SBUA,0.266,-69.80,-0.130,-66.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBUA,SWPC,-0.130,-66.98,0.266,-69.80
SWPC,SBUA,0.266,-69.80,-0.130,-66.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SNOX,-1.400,-48.45,-1.716,-55.84
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMQ,SBMN,-0.050,-51.11,-3.130,-59.98
SNOX,SBBE,-1.716,-55.84,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SWCA,-3.130,-59.98,-4.874,-66.90
SWCA,SBMN,-4.874,-66.90,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBCG,SBNT,-20.470,-54.67,-5.910,-35.23
SBNT,SBGR,-5.910,-35.23,-23.440,-46.47
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBGR,SBCG,-23.440,-46.47,-20.470,-54.67
SBCG,SBMN,-20.470,-54.67,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBGL,SBGL,-22.800,-43.25,-22.800,-43.25
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SWEI,SBTT,-6.637,-69.89,-4.250,-69.93
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SWEI,SBTT,-6.637,-69.89,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBGL,SBGL,-22.800,-43.25,-22.800,-43.25
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SWJP,-3.380,-64.73,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBGL,SBGL,-22.800,-43.25,-22.800,-43.25
SBGL,SBGL,-22.800,-43.25,-22.800,-43.25
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBGL,SBGL,-22.800,-43.25,-22.800,-43.25
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBTT,SWPC,-4.250,-69.93,0.266,-69.80
SWPC,SBMN,0.266,-69.80,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBMN,-4.131,-63.14,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SWEI,-3.380,-64.73,-6.637,-69.89
SWEI,SBMN,-6.637,-69.89,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SWNK,-3.130,-59.98,-8.834,-67.31
SWNK,SBMN,-8.834,-67.31,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBGL,SBBR,-22.800,-43.25,-15.870,-47.92
SBBR,SBMN,-15.870,-47.92,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBMN,-4.524,-71.56,-3.130,-59.98
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SBNT,-3.130,-59.98,-5.910,-35.23
SBNT,SBRF,-5.910,-35.23,-8.120,-34.92
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBCG,SBBR,-20.470,-54.67,-15.870,-47.92
SBBR,SBGL,-15.870,-47.92,-22.800,-43.25
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBRF,SBBE,-8.120,-34.92,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBGL,SBCT,-22.800,-43.25,-25.520,-49.17
SBCT,SBGR,-25.520,-49.17,-23.440,-46.47
SBGR,SBCG,-23.440,-46.47,-20.470,-54.67
SBCG,SBRB,-20.470,-54.67,-9.870,-67.90
SBRB,SBBR,-9.870,-67.90,-15.870,-47.92
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBR,SBFZ,-15.870,-47.92,-3.770,-38.52
SBFZ,SBRF,-3.770,-38.52,-8.120,-34.92
