origem,destino,lat_origem,long_origem,lat_dest,long_dest
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SWEI,-3.130,-59.98,-6.637,-69.89
SWEI,SBMN,-6.637,-69.89,-3.130,-59.98
SBRF,SBBR,-8.120,-34.92,-15.870,-47.92
SBMN,SBSL,-3.130,-59.98,-2.530,-44.30
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBMN,-4.524,-71.56,-3.130,-59.98
SBSL,SNCW,-2.530,-44.30,-2.320,-44.42
SNCW,SBSJ,-2.320,-44.42,-23.220,-45.87
SBBR,SBRB,-15.870,-47.92,-9.870,-67.90
SBRB,SBMN,-9.870,-67.90,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBSJ,SBBR,-23.220,-45.87,-15.870,-47.92
SBBR,SBCC,-15.870,-47.92,-9.330,-54.97
SBCC,SBBR,-9.330,-54.97,-15.870,-47.92
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SBTT,-8.700,-63.90,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBBR,SBCC,-15.870,-47.92,-9.330,-54.97
SBCC,SBMN,-9.330,-54.97,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBMN,SBNT,-3.130,-59.98,-5.910,-35.23
SBNT,SBMN,-5.910,-35.23,-3.130,-59.98
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBMN,SNRH,-3.130,-59.98,-7.444,-70.02
SNRH,SBRB,-7.444,-70.02,-9.870,-67.90
SBRB,SBMN,-9.870,-67.90,-3.130,-59.98
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBCG,SBGR,-20.470,-54.67,-23.440,-46.47
SBGR,SBGL,-23.440,-46.47,-22.800,-43.25
SBGL,SBMN,-22.800,-43.25,-3.130,-59.98
SBMN,SBPV,-3.130,-59.98,-8.700,-63.90
SBPV,SBMN,-8.700,-63.90,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SNOX,-1.400,-48.45,-1.716,-55.84
SNOX,SBMN,-1.716,-55.84,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBMN,-4.524,-71.56,-3.130,-59.98
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SWBV,4.004,-64.50,4.004,-64.50
SWBV,SWBV,4.004,-64.50,4.004,-64.50
SWBV,SWBV,4.004,-64.50,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SNRH,-3.130,-59.98,-7.444,-70.02
SNRH,SBTF,-7.444,-70.02,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBRB,-3.130,-59.98,-9.870,-67.90
SBRB,SBMN,-9.870,-67.90,-3.130,-59.98
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBMN,SBTF,-3.130,-59.98,-3.380,-64.73
SBTF,SBTT,-3.380,-64.73,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SWJV,-4.524,-71.56,-5.132,-72.81
SWJV,SBTT,-5.132,-72.81,-4.250,-69.93
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBTT,SBTF,-4.250,-69.93,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBLS,-3.130,-59.98,-19.650,-43.90
SBLS,SBGL,-19.650,-43.90,-22.800,-43.25
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SWUQ,2.836,-63.65,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBBE,-4.131,-63.14,-1.400,-48.45
SBGL,SBCG,-22.800,-43.25,-20.470,-54.67
SBCG,SBGR,-20.470,-54.67,-23.440,-46.47
SBGR,SBMN,-23.440,-46.47,-3.130,-59.98
SBMN,SWEE,-3.130,-59.98,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMQ,-1.400,-48.45,-0.050,-51.11
SBMQ,SBBE,-0.050,-51.11,-1.400,-48.45
SBBE,SBMQ,-1.400,-48.45,-0.050,-51.11
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBMN,SBLS,-3.130,-59.98,-19.650,-43.90
SBLS,SBGL,-19.650,-43.90,-22.800,-43.25
SBMQ,SBBE,-0.050,-51.11,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBGL,SBAA,-22.800,-43.25,-8.260,-49.26
SBAA,SBBE,-8.260,-49.26,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBGL,-1.400,-48.45,-22.800,-43.25
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBMN,-4.131,-63.14,-3.130,-59.98
SBMN,SNRH,-3.130,-59.98,-7.444,-70.02
SNRH,SBMN,-7.444,-70.02,-3.130,-59.98
SBGL,SBPJ,-22.800,-43.25,-10.280,-48.35
SBPJ,SBBE,-10.280,-48.35,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBCG,SBLS,-20.470,-54.67,-19.650,-43.90
SBLS,SBGR,-19.650,-43.90,-23.440,-46.47
SBGR,SBAN,-23.440,-46.47,-16.240,-48.97
SBAN,SBMN,-16.240,-48.97,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBUA,-0.130,-66.98,-0.130,-66.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWBC,-0.130,-66.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBCG,SBGR,-20.470,-54.67,-23.440,-46.47
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBGR,SBMN,-23.440,-46.47,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBMN,SBAF,-3.130,-59.98,-22.880,-43.38
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBUA,SWSQ,-0.130,-66.98,1.700,-69.39
SWSQ,SBUA,1.700,-69.39,-0.130,-66.98
SBAF,SWXQ,-22.880,-43.38,-21.662,-49.74
SWXQ,SWXQ,-21.662,-49.74,-21.662,-49.74
SWXQ,SBAF,-21.662,-49.74,-22.880,-43.38
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBOI,-1.400,-48.45,3.840,-51.82
SBOI,SBBE,3.840,-51.82,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SNOX,-1.400,-48.45,-1.716,-55.84
SNOX,SBMN,-1.716,-55.84,-3.130,-59.98
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBBE,SBOI,-1.400,-48.45,3.840,-51.82
SBOI,SBMQ,3.840,-51.82,-0.050,-51.11
SBMQ,SBOI,-0.050,-51.11,3.840,-51.82
SBOI,SBMQ,3.840,-51.82,-0.050,-51.11
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBMQ,SBOI,-0.050,-51.11,3.840,-51.82
SBOI,SBMQ,3.840,-51.82,-0.050,-51.11
SBMQ,SBMN,-0.050,-51.11,-3.130,-59.98
SBMN,SWHT,-3.130,-59.98,-7.540,-63.07
SWHT,SBMN,-7.540,-63.07,-3.130,-59.98
SBMN,SWHT,-3.130,-59.98,-7.540,-63.07
SWHT,SBMN,-7.540,-63.07,-3.130,-59.98
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBAF,-22.880,-43.38,-22.880,-43.38
SBAF,SBGL,-22.880,-43.38,-22.800,-43.25
SBGL,SBBR,-22.800,-43.25,-15.870,-47.92
SBBR,SBMN,-15.870,-47.92,-3.130,-59.98
SBMN,SBCG,-3.130,-59.98,-20.470,-54.67
SBMN,SWHT,-3.130,-59.98,-7.540,-63.07
SWHT,SBMN,-7.540,-63.07,-3.130,-59.98
SBMN,SWHT,-3.130,-59.98,-7.540,-63.07
SWHT,SBMN,-7.540,-63.07,-3.130,-59.98
SBCG,SBMN,-20.470,-54.67,-3.130,-59.98
SBMN,SBCC,-3.130,-59.98,-9.330,-54.97
SBCC,SBMN,-9.330,-54.97,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBTT,SBTF,-4.250,-69.93,-3.380,-64.73
SBTF,SWJP,-3.380,-64.73,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBTT,SBTT,-4.250,-69.93,-4.250,-69.93
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SWJP,-1.402,-69.43,-1.402,-69.43
SWJP,SWJP,-1.402,-69.43,-1.402,-69.43
SWJP,SWJP,-1.402,-69.43,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBTT,SWII,-4.250,-69.93,-2.933,-69.70
SWII,SWII,-2.933,-69.70,-2.933,-69.70
SWII,SWII,-2.933,-69.70,-2.933,-69.70
SWII,SWII,-2.933,-69.70,-2.933,-69.70
SWII,SBTT,-2.933,-69.70,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SWEE,-4.524,-71.56,-4.524,-71.56
SWEE,SWEE,-4.524,-71.56,-4.524,-71.56
SWEE,SWEE,-4.524,-71.56,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBTT,-4.250,-69.93,-4.250,-69.93
SBTT,SBTT,-4.250,-69.93,-4.250,-69.93
SBTT,SBTT,-4.250,-69.93,-4.250,-69.93
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWJP,-4.250,-69.93,-1.402,-69.43
SWJP,SWJP,-1.402,-69.43,-1.402,-69.43
SWJP,SBTT,-1.402,-69.43,-4.250,-69.93
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBYA,-0.130,-66.98,0.610,-69.20
SBYA,SBUA,0.610,-69.20,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SWII,-4.250,-69.93,-2.933,-69.70
SWII,SWII,-2.933,-69.70,-2.933,-69.70
SWII,SBTT,-2.933,-69.70,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SWEI,SBTT,-6.637,-69.89,-4.250,-69.93
SBMN,SBMQ,-3.130,-59.98,-0.050,-51.11
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBTT,SWEI,-4.250,-69.93,-6.637,-69.89
SWEI,SBTT,-6.637,-69.89,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SBBR,-3.130,-59.98,-15.870,-47.92
SBBR,SBCC,-15.870,-47.92,-9.330,-54.97
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBCC,SBBR,-9.330,-54.97,-15.870,-47.92
SBBR,SBMN,-15.870,-47.92,-3.130,-59.98
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMN,SWBC,-3.130,-59.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBMN,SWBC,-3.130,-59.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBMN,SWBC,-3.130,-59.98,-0.970,-62.93
SWBC,SBMN,-0.970,-62.93,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMQ,SBTS,-0.050,-51.11,2.220,-55.93
SBTS,SBMQ,2.220,-55.93,-0.050,-51.11
SBMQ,SBMN,-0.050,-51.11,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBMY,-3.130,-59.98,-5.820,-61.29
SBMY,SBMN,-5.820,-61.29,-3.130,-59.98
SBMN,SBBV,-3.130,-59.98,2.840,-60.68
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBMN,SWFX,-3.130,-59.98,-11.632,-50.69
SWFX,SBCC,-11.632,-50.69,-9.330,-54.97
SBCC,SBMN,-9.330,-54.97,-3.130,-59.98
SBMN,SBTS,-3.130,-59.98,2.220,-55.93
SBTS,SBMN,2.220,-55.93,-3.130,-59.98
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBBV,SBBV,2.840,-60.68,2.840,-60.68
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBBV,SWUQ,2.840,-60.68,2.836,-63.65
SWUQ,SBBV,2.836,-63.65,2.840,-60.68
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBMN,SWEE,-3.130,-59.98,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBBV,SWBV,2.840,-60.68,4.004,-64.50
SWBV,SBBV,4.004,-64.50,2.840,-60.68
SBBV,SBMN,2.840,-60.68,-3.130,-59.98
SBTT,SBTF,-4.250,-69.93,-3.380,-64.73
SBTF,SBMN,-3.380,-64.73,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBMN,-1.400,-48.45,-3.130,-59.98
SBMN,SBTT,-3.130,-59.98,-4.250,-69.93
SBTT,SWEE,-4.250,-69.93,-4.524,-71.56
SWEE,SBTT,-4.524,-71.56,-4.250,-69.93
SBTT,SBMN,-4.250,-69.93,-3.130,-59.98
SBMN,SWKO,-3.130,-59.98,-4.131,-63.14
SWKO,SBMN,-4.131,-63.14,-3.130,-59.98
SBMN,SNOX,-3.130,-59.98,-1.716,-55.84
SNOX,SBMN,-1.716,-55.84,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWQE,-0.130,-66.98,1.085,-69.84
SWQE,SBUA,1.085,-69.84,-0.130,-66.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBBE,-3.130,-59.98,-1.400,-48.45
SBBE,SBIZ,-1.400,-48.45,-5.540,-47.48
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBUA,SBMN,-0.130,-66.98,-3.130,-59.98
SBMN,SBUA,-3.130,-59.98,-0.130,-66.98
SBUA,SWMK,-0.130,-66.98,0.626,-66.12
SWMK,SBUA,0.626,-66.12,-0.130,-66.98
SBMN,SBMN,-3.130,-59.98,-3.130,-59.98
SBIZ,SBBE,-5.540,-47.48,-1.400,-48.45
